success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0       1068       7852      8.939     39.567         40
      1          0               0       1085      11223     14.499     47.392         50
      1          0               0       1088      16379     19.419     57.450         60
      1          0               0       1026      13030     24.961     66.456         70
      1          0               0       1238      13210     36.776     76.364         80
      1          0               0       1588      28128     58.878     86.297         90
      1          0               0        639       8583     28.536     95.391        100
      1          0               0        464       1852      0.533      9.909         10
      1          0               0        791       4427      2.256     19.824         20
      1          0               0        881       4550      4.627     29.695         30
      1          0               0       1050       7311      8.769     39.543         40
      1          0               0        797       9497     10.013     49.036         50
      1          0               0       1530      19484     25.810     59.293         60
      1          0               0        681      10371     15.474     67.978         70
      1          0               0       1390      16081     39.544     78.378         80
      1          0               0       1594      17094     57.254     86.593         90
      1          0               0       1594      17059     71.670     95.409        100
      1          0               0        612       2744      0.707      9.900         10
      1          0               0        898       5337      2.537     19.836         20
      1          0               0       1224       6424      6.359     29.797         30
      1          0               0       1154       9312      9.586     39.454         40
      1          0               0       1285       9252     16.501     49.498         50
      1          0               0       1287      11598     22.029     58.425         60
      1          0               0        547       8029     12.575     66.949         70
      1          0               0       1325      12846     38.511     76.544         80
      1          0               0       1150      16415     42.773     85.934         90
      1          0               0       1197      16371     54.163     94.943        100
      1          0               0        697       2070      0.790      9.928         10
      1          0               0        750       3178      2.139     19.793         20
      1          0               0        700       5015      3.702     29.627         30
      1          0               0       1068       7130      8.929     39.358         40
      1          0               0       1306      14476     16.200     49.186         50
      1          0               0       1486      12831     24.978     59.346         60
      1          0               0       1369      14960     30.097     69.223         70
      1          0               0       1418      24311     40.643     77.869         80
      1          0               0       1482      23210     53.350     87.636         90
      1          0               0       1287      19133     57.049     96.678        100
      1          0               0        316       1429      0.363      9.889         10
      1          0               0       1215       3540      3.431     19.893         20
      1          0               0       1013       8288      5.348     29.552         30
      1          0               0       1122       8074      9.613     38.626         40
      1          0               0       1261      14884     16.156     47.895         50
      1          0               0       1069      12010     18.778     57.255         60
      1          0               0       1045      13018     23.855     67.347         70
      1          0               0       1046      13807     31.540     76.146         80
      1          0               0        831      12203     30.887     84.982         90
      1          0               0        888      15565     41.426     93.584        100
      1          0               0        497       1589      0.563      9.913         10
      1          0               0        535       2716      1.527     19.815         20
      1          0               0       1180       6785      6.172     29.713         30
      1          0               0       1412      10916     11.688     39.661         40
      1          0               0       1212       8990     14.945     49.567         50
      1          0               0       1081      14141     18.232     59.263         60
      1          0               0       1218      20665     26.987     69.094         70
      1          0               0        973      15858     27.466     78.829         80
      1          0               0       1204      19452     42.754     88.923         90
      1          0               0       1283      13507     54.870     99.063        100
      1          0               0        646       1648      0.732      9.946         10
      1          0               0        655       4202      1.891     19.614         20
      1          0               0        810       6555      4.255     29.664         30
      1          0               0        554       5529      4.648     39.403         40
      1          0               0       1243       9646     15.395     49.429         50
      1          0               0       1092       9836     18.520     59.243         60
      1          0               0       1234      11023     27.547     68.331         70
      1          0               0       1357      14224     40.319     75.432         80
      1          0               0       1172      14223     43.721     85.473         90
      1          0               0        950      16434     43.564     93.816        100
      1          0               0        905       4307      1.024      9.916         10
      1          0               0       1022       7741      2.917     19.723         20
      1          0               0       1047       9339      5.562     29.372         30
      1          0               0       1111      10410      9.253     39.452         40
      1          0               0       1237      11686     15.245     49.270         50
      1          0               0       1323      19305     22.506     58.757         60
      1          0               0        762      14927     17.155     68.438         70
      1          0               0        792      17189     23.114     77.280         80
      1          0               0       1227      23668     43.815     87.190         90
      1          0               0        906      23524     41.673     94.776        100
      1          0               0        748       4042      0.866      9.773         10
      1          0               0        683       4495      1.940     19.827         20
      1          0               0       1076       8061      5.630     29.671         30
      1          0               0        924       8337      7.818     38.810         40
      1          0               0        943       9312     11.788     48.780         50
      1          0               0       1353      14366     23.285     58.458         60
      1          0               0       1549      17951     36.208     67.268         70
