success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0       1164      25939     15.274     82.640         90
      1          0               0       1043      26669     18.161     90.474        100
      1          0               0        877       3764      0.862      8.854         10
      1          0               0        969       6453      1.913     18.787         20
      1          0               0       1170       8488      3.686     28.377         30
      1          0               0       1532      11932      6.589     38.947         40
      1          0               0       1338      13489      7.756     46.882         50
      1          0               0       1325      17146      9.853     55.260         60
      1          0               0       1339      21705     12.090     63.577         70
      1          0               0       1060      15893     11.148     73.285         80
      1          0               0       1208      19493     16.220     82.685         90
      1          0               0       1186      24429     18.637     91.800        100
      1          0               0        628       1226      0.574      9.691         10
      1          0               0       1487       3961      2.804     19.857         20
      1          0               0       1354       6148      3.946     29.713         30
      1          0               0       1145       7613      5.097     37.748         40
      1          0               0       1338      12817      8.524     45.571         50
      1          0               0       1374      13253     10.124     55.523         60
      1          0               0       1573      22988     15.368     65.615         70
      1          0               0       1457      29531     18.234     73.655         80
      1          0               0       1342      28798     18.460     83.859         90
      1          0               0       1683      26345     26.528     93.440        100
      1          0               0        980       1698      0.967      9.924         10
      1          0               0       1226       5219      2.470     19.768         20
      1          0               0       1317      11084      4.331     28.406         30
      1          0               0        700       7180      2.854     38.436         40
      1          0               0       1494      14699      8.753     47.338         50
      1          0               0       1591      13614     10.906     56.573         60
      1          0               0       1220      11993     10.256     66.207         70
      1          0               0       1453      17233     16.340     74.292         80
      1          0               0       1328      19512     15.941     83.303         90
      1          0               0       1577      25917     26.013     91.441        100
      1          0               0        716       1967      0.656      9.930         10
      1          0               0        956       4707      1.763     19.456         20
      1          0               0       1273       7506      3.809     29.654         30
      1          0               0       1678      10431      7.133     38.947         40
      1          0               0       1376      10634      7.952     48.054         50
      1          0               0       1778      23638     13.558     56.924         60
      1          0               0       1820      22644     17.815     66.946         70
      1          0               0       1517      17064     15.331     77.139         80
      1          0               0       1462      15420     16.122     86.817         90
      1          0               0       1731      26542     27.350     93.616        100
      1          0               0        809       2634      0.758      9.848         10
      1          0               0        964       5537      1.887     19.202         20
      1          0               0       1040       8897      3.291     28.303         30
      1          0               0       1121       8218      4.731     38.167         40
      1          0               0       1161       9615      6.098     47.217         50
      1          0               0        878      10157      5.981     55.289         60
      1          0               0       1267      16322     10.715     64.664         70
      1          0               0       1054      12763     10.375     73.584         80
      1          0               0        840      12059     10.527     80.908         90
      1          0               0       1121      17690     17.024     90.756        100
      1          0               0        657       2285      0.617      9.852         10
      1          0               0       1084       6311      2.149     19.638         20
      1          0               0       1067       6732      3.305     28.721         30
      1          0               0       1323       8453      5.664     38.977         40
      1          0               0       1154      10331      7.435     46.581         50
      1          0               0       1232      12898      9.708     56.088         60
      1          0               0       1627      19189     16.869     65.266         70
      1          0               0       1472      21630     17.922     73.861         80
      1          0               0       1425      18110     18.026     85.657         90
      1          0               0        943      13958     10.381     94.164        100
      1          0               0        669       1915      0.630      9.886         10
      1          0               0       1059       4400      1.960     19.740         20
      1          0               0       1238       6324      3.469     29.366         30
      1          0               0        922       6639      3.467     39.126         40
      1          0               0        789       8128      3.863     47.496         50
      1          0               0       1519      14808     10.253     58.019         60
      1          0               0        738       8138      5.152     66.308         70
      1          0               0        519       8253      4.187     75.245         80
      1          0               0        378       7621      3.534     82.577         90
      1          0               0       1880      23666     26.782     94.663        100
      1          0               0        619       2409      0.596      9.855         10
      1          0               0        992       5334      1.883     19.792         20
      1          0               0       1344       9345      4.111     29.480         30
      1          0               0       1337      11742      5.944     39.095         40
      1          0               0       1445      13905      8.755     48.843         50
      1          0               0       1339      12632      9.363     58.258         60
      1          0               0       1457      11950     12.574     67.080         70
      1          0               0       1191      12747     12.478     76.433         80
      1          0               0       1045      14914     12.563     84.845         90
      1          0               0       1365      18239     20.641     93.440        100
      1          0               0        849       2593      0.815      9.918         10
      1          0               0        787       3766      1.404     19.718         20
      1          0               0       1457       9034      4.447     29.610         30
      1          0               0       1379      10581      5.733     39.071         40
      1          0               0       1615      16578      9.523     48.069         50
      1          0               0       1575      16231     11.183     57.803         60
      1          0               0       1485      15147     12.309     67.910         70
      1          0               0       1734      25907     17.179     77.058         80
      1          0               0       1668      26041     21.312     85.143         90
      1          0               0       1754      29316     28.263     94.135        100
      1          0               0        317       1224      0.293      9.751         10
      1          0               0       1025       4041      1.843     19.802         20
      1          0               0       1024       5765      3.159     28.831         30
      1          0               0       1210       8455      5.406     37.216         40
      1          0               0       1215      11779      7.694     46.213         50
      1          0               0       1119      10628      7.548     56.499         60
      1          0               0       1156      11960     10.071     65.387         70
      1          0               0       1262      15435     13.918     75.120         80
      1          0               0       1051      15285     13.060     83.826         90
      1          0               0       1234      16959     16.463     92.621        100
      1          0               0        501       1118      0.455      9.904         10
      1          0               0       1157       3382      2.144     19.794         20
      1          0               0        686       5981      1.990     29.259         30
      1          0               0       1596       9999      7.114     39.075         40
      1          0               0       1601      10025      8.400     49.231         50
      1          0               0       1270      12332      8.502     58.802         60
      1          0               0       1292      19839     11.032     67.769         70
      1          0               0       1435      23829     15.564     76.787         80
      1          0               0       1522      27207     21.520     85.745         90
      1          0               0       1200      23147     17.092     95.809        100
      1          0               0        649       1696      0.587      9.929         10
      1          0               0       1159       4943      2.301     19.437         20
