success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     number
      1          0               0        357       7399      0.997          38.868         40
      1          0               0        356       9324      1.249          48.253         50
      1          0               0        356      11197      1.499          56.972         60
      1          0               0        380      12943      1.875          66.176         70
      1          0               0        379      15424      2.165          74.179         80
      1          0               0        378      17987      2.430          83.304         90
      1          0               0        379      20122      2.687          91.515        100
      1          0               0        224       1140      0.173           9.714         10
      1          0               0        357       3607      0.512          19.569         20
      1          0               0        357       4525      0.746          29.487         30
      1          0               0        357       5954      0.990          38.367         40
      1          0               0        357       7522      1.254          47.095         50
      1          0               0        357       9472      1.530          56.174         60
      1          0               0        357      12015      1.775          65.241         70
      1          0               0        357      14281      2.029          74.602         80
      1          0               0        357      16265      2.341          83.345         90
      1          0               0        357      18273      2.587          91.230        100
      1          0               0        397       1921      0.313           9.955         10
      1          0               0        397       3615      0.576          19.864         20
      1          0               0        397       5720      0.844          29.330         30
      1          0               0        396       7698      1.112          39.066         40
      1          0               0        396       9618      1.392          48.258         50
      1          0               0        396      11864      1.675          56.561         60
      1          0               0        396      14514      1.973          65.273         70
      1          0               0        396      16114      2.256          74.146         80
      1          0               0        396      18696      2.561          82.556         90
      1          0               0        396      20270      2.841          91.323        100
      1          0               0        313       1641      0.241           9.920         10
      1          0               0        312       3071      0.451          19.846         20
      1          0               0        311       4745      0.676          29.701         30
      1          0               0        312       6743      0.901          39.266         40
      1          0               0        312       8558      1.122          48.843         50
      1          0               0        333      10320      1.540          58.030         60
      1          0               0        335      12823      1.719          67.069         70
      1          0               0        394      15605      2.278          75.660         80
      1          0               0        393      17561      2.539          84.901         90
      1          0               0        393      19076      2.801          93.888        100
      1          0               0        329       1879      0.264           9.976         10
      1          0               0        329       3527      0.497          19.502         20
      1          0               0        329       5888      0.759          28.319         30
      1          0               0        370       7767      1.076          38.089         40
      1          0               0        369       9674      1.339          47.206         50
      1          0               0        416      11948      1.807          56.481         60
      1          0               0        416      13586      2.159          64.966         70
      1          0               0        416      14788      2.387          74.498         80
      1          0               0        416      16746      3.584          82.950         90
      1          0               0        416      19188      3.066          91.399        100
      1          0               0        320       2343      0.258           9.944         10
      1          0               0        354       4331      0.531          19.675         20
      1          0               0        382       6239      0.837          28.866         30
      1          0               0        382       8380      1.145          38.361         40
      1          0               0        382      10111      1.402          46.662         50
      1          0               0        382      12147      1.723          56.246         60
      1          0               0        389      14091      1.989          64.781         70
      1          0               0        389      16365      2.253          73.614         80
      1          0               0        389      18291      2.639          81.607         90
      1          0               0        389      20468      2.843          90.488        100
      1          0               0        281       1734      0.231           9.964         10
      1          0               0        381       3992      0.575          19.879         20
      1          0               0        381       5919      0.850          29.745         30
      1          0               0        390       8023      1.113          39.049         40
      1          0               0        390       9894      1.378          48.751         50
      1          0               0        390      11777      1.640          58.123         60
      1          0               0        390      13705      1.918          67.185         70
      1          0               0        390      15539      2.219          76.772         80
      1          0               0        391      17395      2.470          85.033         90
      1          0               0        391      18759      2.776          94.399        100
      1          0               0        293       1969      0.228           9.980         10
      1          0               0        292       3080      0.432          19.757         20
      1          0               0        369       5228      0.800          29.290         30
      1          0               0        369       6459      1.054          38.973         40
      1          0               0        369       7966      1.300          48.526         50
      1          0               0        369       9886      1.558          56.916         60
      1          0               0        369      12315      1.805          66.033         70
      1          0               0        369      14296      2.072          75.008         80
      1          0               0        369      16175      2.328          84.003         90
      1          0               0        368      18222      2.616          92.677        100
      1          0               0        314       2042      0.249           9.850         10
      1          0               0        332       4211      0.491          19.572         20
      1          0               0        332       5931      0.718          29.075         30
      1          0               0        373       7850      1.073          38.029         40
      1          0               0        382       9967      1.359          47.542         50
      1          0               0        382      12821      1.639          56.031         60
      1          0               0        382      14402      1.953          65.351         70
      1          0               0        382      15944      2.196          74.204         80
      1          0               0        381      17697      2.460          83.391         90
      1          0               0        381      19249      2.699          92.680        100
      1          0               0        240       1370      0.189           9.875         10
      1          0               0        326       3327      0.474          19.837         20
      1          0               0        326       5164      0.695          29.632         30
      1          0               0        326       7034      0.928          38.908         40
      1          0               0        326       9117      1.159          48.537         50
      1          0               0        326      10836      1.386          57.718         60
      1          0               0        326      12446      1.614          67.190         70
      1          0               0        326      14548      1.867          74.831         80
      1          0               0        356      16660      2.305          82.303         90
      1          0               0        356      18038      2.553          91.421        100
      1          0               0        303       1329      0.236           9.997         10
      1          0               0        403       3768      0.583          19.886         20
      1          0               0        403       5334      0.859          29.370         30
      1          0               0        403       7630      1.155          38.442         40
      1          0               0        403      10122      1.431          47.412         50
      1          0               0        403      11719      1.707          56.859         60
      1          0               0        403      13188      2.018          66.499         70
      1          0               0        403      15277      2.340          75.690         80
      1          0               0        403      17720      2.680          84.658         90
      1          0               0        403      19836      2.942          93.707        100
      1          0               0        328       2018      0.254           9.948         10
      1          0               0        328       3591      0.474          19.854         20
      1          0               0        341       5438      0.726          29.220         30
      1          0               0        341       7125      0.955          38.927         40
      1          0               0        381       9003      1.322          48.638         50
      1          0               0        382      11149      1.618          57.874         60
      1          0               0        382      12985      1.935          66.806         70
      1          0               0        382      15582      2.196          75.136         80
      1          0               0        381      17528      2.522          83.640         90
      1          0               0        381      19593      2.772          91.470        100
      1          0               0        361       2134      0.304           9.914         10
      1          0               0        361       3783      0.535          19.751         20
      1          0               0        361       5597      0.825          29.335         30
      1          0               0        407       7773      1.212          38.101         40
      1          0               0        408       9298      1.473          47.248         50
      1          0               0        407      11528      1.759          56.673         60
      1          0               0        407      13117      2.097          65.821         70
      1          0               0        407      15245      2.354          74.194         80
      1          0               0        407      16961      2.622          83.514         90
      1          0               0        407      18919      2.956          91.941        100
      1          0               0        348       1997      0.278          10.000         10
      1          0               0        348       3812      0.518          19.862         20
      1          0               0        348       5753      0.747          29.420         30
      1          0               0        348       7546      0.994          39.017         40
      1          0               0        348       9029      1.244          47.836         50
      1          0               0        348      10380      1.471          57.514         60
      1          0               0        348      12197      1.707          66.810         70
      1          0               0        348      13707      1.953          76.210         80
      1          0               0        349      15443      2.229          85.504         90
      1          0               0        356      17693      2.616          93.461        100
      1          0               0        300       1899      0.235           9.963         10
      1          0               0        426       3725      0.621          19.793         20
      1          0               0        426       6019      0.915          29.425         30
      1          0               0        426       8488      1.215          38.779         40
      1          0               0        426      10509      1.577          48.169         50
      1          0               0        426      12603      1.896          57.798         60
      1          0               0        426      14277      2.167          67.343         70
      1          0               0        426      16367      2.531          75.582         80
      1          0               0        426      18906      2.743          84.948         90
      1          0               0        426      20661      3.025          94.329        100
      1          0               0        323       1950      0.249           9.960         10
      1          0               0        384       3688      0.556          19.471         20
      1          0               0        384       5713      0.821          28.732         30
      1          0               0        384       7584      1.170          38.018         40
      1          0               0        385       9385      1.390          47.094         50
      1          0               0        385      11189      1.656          56.538         60
      1          0               0        384      13255      1.888          65.198         70
      1          0               0        384      15513      2.161          74.289         80
      1          0               0        384      17488      2.435          83.000         90
      1          0               0        384      19928      2.710          91.641        100
      1          0               0        319       1660      0.244           9.912         10
      1          0               0        346       4131      0.506          19.211         20
      1          0               0        347       5921      0.738          29.144         30
      1          0               0        347       7844      0.987          38.184         40
      1          0               0        370       9383      1.302          48.062         50
      1          0               0        369      11597      1.547          57.225         60
      1          0               0        369      13502      1.810          66.051         70
      1          0               0        370      16295      2.082          74.741         80
      1          0               0        370      18320      2.348          83.535         90
      1          0               0        370      20502      2.618          91.554        100
      1          0               0        245       1440      0.188           9.984         10
      1          0               0        386       4059      0.559          19.847         20
      1          0               0        386       6179      0.846          29.358         30
      1          0               0        385       7865      1.106          38.686         40
      1          0               0        385       9577      1.388          47.925         50
      1          0               0        385      11084      1.659          57.725         60
      1          0               0        385      12858      1.930          66.532         70
      1          0               0        385      15175      2.168          75.532         80
      1          0               0        385      16794      2.430          84.306         90
      1          0               0        385      18842      2.771          91.808        100
      1          0               0        337       2096      0.280           9.988         10
      1          0               0        337       3634      0.517          19.822         20
      1          0               0        337       5289      0.762          29.552         30
      1          0               0        337       7052      0.991          38.736         40
      1          0               0        351       9053      1.301          48.521         50
      1          0               0        368      10898      1.541          57.815         60
      1          0               0        368      13300      1.815          66.704         70
      1          0               0        369      14845      2.104          75.881         80
      1          0               0        368      16597      2.337          84.489         90
      1          0               0        367      18680      2.588          92.354        100
